Symbol,Date,Value
0c3b30cd247fe6ff1742854250,2024-12-24 11:00:00,0.054
0c3b30cd247fe6ff1742854250,2024-12-24 12:00:00,0.111
0c3b30cd247fe6ff1742854250,2024-12-24 13:00:00,0.072
0c3b30cd247fe6ff1742854250,2024-12-24 14:00:00,0.047
0c3b30cd247fe6ff1742854250,2024-12-24 15:00:00,0.041
0c3b30cd247fe6ff1742854250,2024-12-24 16:00:00,0.04
0c3b30cd247fe6ff1742854250,2024-12-24 17:00:00,0.046
0c3b30cd247fe6ff1742854250,2024-12-24 18:00:00,0.047
0c3b30cd247fe6ff1742854250,2024-12-24 19:00:00,0.081
0c3b30cd247fe6ff1742854250,2024-12-24 20:00:00,0.332
0c3b30cd247fe6ff1742854250,2024-12-24 21:00:00,0.795
0c3b30cd247fe6ff1742854250,2024-12-24 22:00:00,0.384
0c3b30cd247fe6ff1742854250,2024-12-24 23:00:00,0.061
c2a91e3d7222f6d51743069686,2024-12-24 00:00:00,0.861
c2a91e3d7222f6d51743069686,2024-12-24 01:00:00,0.702
c2a91e3d7222f6d51743069686,2024-12-24 02:00:00,0.624
c2a91e3d7222f6d51743069686,2024-12-24 03:00:00,0.491
c2a91e3d7222f6d51743069686,2024-12-24 04:00:00,0.676
c2a91e3d7222f6d51743069686,2024-12-24 05:00:00,0.88
c2a91e3d7222f6d51743069686,2024-12-24 06:00:00,0.517
c2a91e3d7222f6d51743069686,2024-12-24 07:00:00,0.671
c2a91e3d7222f6d51743069686,2024-12-24 08:00:00,0.753
c2a91e3d7222f6d51743069686,2024-12-24 09:00:00,0.584
c2a91e3d7222f6d51743069686,2024-12-24 10:00:00,1.937
c2a91e3d7222f6d51743069686,2024-12-24 11:00:00,0.756
c2a91e3d7222f6d51743069686,2024-12-24 12:00:00,1.273
c2a91e3d7222f6d51743069686,2024-12-24 13:00:00,0.838
c2a91e3d7222f6d51743069686,2024-12-24 14:00:00,0.966
c2a91e3d7222f6d51743069686,2024-12-24 15:00:00,0.796
c2a91e3d7222f6d51743069686,2024-12-24 16:00:00,0.744
c2a91e3d7222f6d51743069686,2024-12-24 17:00:00,1.111
c2a91e3d7222f6d51743069686,2024-12-24 18:00:00,0.638
c2a91e3d7222f6d51743069686,2024-12-24 19:00:00,0.766
c2a91e3d7222f6d51743069686,2024-12-24 20:00:00,0.88
c2a91e3d7222f6d51743069686,2024-12-24 21:00:00,1.812
c2a91e3d7222f6d51743069686,2024-12-24 22:00:00,1.012
c2a91e3d7222f6d51743069686,2024-12-24 23:00:00,0.756
1fecd574c4e953d91743336917,2024-12-24 00:00:00,1.704
1fecd574c4e953d91743336917,2024-12-24 01:00:00,1.475
1fecd574c4e953d91743336917,2024-12-24 02:00:00,1.676
1fecd574c4e953d91743336917,2024-12-24 03:00:00,1.582
1fecd574c4e953d91743336917,2024-12-24 04:00:00,1.855
1fecd574c4e953d91743336917,2024-12-24 05:00:00,1.678
1fecd574c4e953d91743336917,2024-12-24 06:00:00,1.664
1fecd574c4e953d91743336917,2024-12-24 07:00:00,1.596
1fecd574c4e953d91743336917,2024-12-24 08:00:00,1.649
1fecd574c4e953d91743336917,2024-12-24 09:00:00,1.75
1fecd574c4e953d91743336917,2024-12-24 10:00:00,2.642
1fecd574c4e953d91743336917,2024-12-24 11:00:00,2.106
1fecd574c4e953d91743336917,2024-12-24 12:00:00,2.138
1fecd574c4e953d91743336917,2024-12-24 13:00:00,2.738
1fecd574c4e953d91743336917,2024-12-24 14:00:00,1.673
1fecd574c4e953d91743336917,2024-12-24 15:00:00,1.658
1fecd574c4e953d91743336917,2024-12-24 16:00:00,1.505
1fecd574c4e953d91743336917,2024-12-24 17:00:00,1.488
1fecd574c4e953d91743336917,2024-12-24 18:00:00,1.637
1fecd574c4e953d91743336917,2024-12-24 19:00:00,1.552
1fecd574c4e953d91743336917,2024-12-24 20:00:00,1.587
1fecd574c4e953d91743336917,2024-12-24 21:00:00,1.467
1fecd574c4e953d91743336917,2024-12-24 22:00:00,1.558
1fecd574c4e953d91743336917,2024-12-24 23:00:00,1.711
ed2284e75ccc65c31743346721,2024-12-24 00:00:00,0.048
ed2284e75ccc65c31743346721,2024-12-24 01:00:00,0.027
ed2284e75ccc65c31743346721,2024-12-24 02:00:00,0.056
ed2284e75ccc65c31743346721,2024-12-24 03:00:00,0.022
ed2284e75ccc65c31743346721,2024-12-24 04:00:00,0.054
ed2284e75ccc65c31743346721,2024-12-24 05:00:00,0.043
ed2284e75ccc65c31743346721,2024-12-24 06:00:00,0.032
ed2284e75ccc65c31743346721,2024-12-24 07:00:00,0.057
ed2284e75ccc65c31743346721,2024-12-24 08:00:00,0.019
ed2284e75ccc65c31743346721,2024-12-24 09:00:00,0.055
ed2284e75ccc65c31743346721,2024-12-24 10:00:00,0.046
ed2284e75ccc65c31743346721,2024-12-24 11:00:00,0.029
ed2284e75ccc65c31743346721,2024-12-24 12:00:00,0.057
ed2284e75ccc65c31743346721,2024-12-24 13:00:00,0.025
ed2284e75ccc65c31743346721,2024-12-24 14:00:00,0.05
ed2284e75ccc65c31743346721,2024-12-24 15:00:00,0.05
ed2284e75ccc65c31743346721,2024-12-24 16:00:00,0.025
ed2284e75ccc65c31743346721,2024-12-24 17:00:00,0.063
ed2284e75ccc65c31743346721,2024-12-24 18:00:00,0.068
ed2284e75ccc65c31743346721,2024-12-24 19:00:00,0.043
ed2284e75ccc65c31743346721,2024-12-24 20:00:00,0.056
ed2284e75ccc65c31743346721,2024-12-24 21:00:00,0.019
ed2284e75ccc65c31743346721,2024-12-24 22:00:00,0.056
ed2284e75ccc65c31743346721,2024-12-24 23:00:00,0.039
51938054027b94021743707452,2024-12-24 00:00:00,0.238
51938054027b94021743707452,2024-12-24 01:00:00,0.433
51938054027b94021743707452,2024-12-24 02:00:00,0.93
51938054027b94021743707452,2024-12-24 03:00:00,0.316
51938054027b94021743707452,2024-12-24 04:00:00,0.311
51938054027b94021743707452,2024-12-24 05:00:00,0.139
51938054027b94021743707452,2024-12-24 06:00:00,0.055
51938054027b94021743707452,2024-12-24 07:00:00,0.049
51938054027b94021743707452,2024-12-24 08:00:00,0.048
51938054027b94021743707452,2024-12-24 09:00:00,0.091
51938054027b94021743707452,2024-12-24 10:00:00,0.22
51938054027b94021743707452,2024-12-24 11:00:00,0.976
51938054027b94021743707452,2024-12-24 12:00:00,1.348
51938054027b94021743707452,2024-12-24 13:00:00,1.069
51938054027b94021743707452,2024-12-24 14:00:00,0.114
51938054027b94021743707452,2024-12-24 15:00:00,1.295
51938054027b94021743707452,2024-12-24 16:00:00,0.464
51938054027b94021743707452,2024-12-24 17:00:00,1.249
51938054027b94021743707452,2024-12-24 18:00:00,0.511
51938054027b94021743707452,2024-12-24 19:00:00,0.294
51938054027b94021743707452,2024-12-24 20:00:00,0.401
51938054027b94021743707452,2024-12-24 21:00:00,0.312
51938054027b94021743707452,2024-12-24 22:00:00,0.369
51938054027b94021743707452,2024-12-24 23:00:00,1.327
94a4157616804ae51743754974,2024-12-24 00:00:00,0.418
